 0.0000	  0.0000	  1.0000
 0.0250	  0.0000	  1.0000
 0.0500	  0.0000	  1.0000
 0.0750	  0.0000	  1.0000
 0.1000	  0.0000	  1.0000
 0.1250	  0.0000	  1.0000
 0.1500	  0.0000	  1.0000
 0.1750	  0.0000	  1.0000
 0.2000	  0.0000	  1.0000
 0.2250	  0.0000	  1.0000
 0.2500	  0.0000	  1.0000
 0.2750	  0.0000	  1.0000
 0.3000	  0.0000	  1.0000
 0.3250	  0.0000	  1.0000
 0.3500	  0.0000	  1.0000
 0.3750	  0.0000	  1.0000
 0.4000	  0.0000	  1.0000
 0.4250	  0.0000	  1.0000
 0.4500	  0.0000	  1.0000
 0.4750	  0.0000	  1.0000
 0.5000	  0.0000	  1.0000
 0.5250	  0.0000	  1.0000
 0.5500	  0.0000	  1.0000
 0.5750	  0.0000	  1.0000
 0.6000	  0.0000	  1.0000
 0.6250	  0.0000	  1.0000
 0.6500	  0.0000	  1.0000
 0.6750	  0.0000	  1.0000
 0.7000	  0.0000	  1.0000
 0.7250	  0.0000	  1.0000
 0.7500	  0.0000	  1.0000
 0.7750	  0.0000	  1.0000
 0.8000	  0.0000	  1.0000
 0.8250	  0.0000	  1.0000
 0.8500	  0.0000	  1.0000
 0.8750	  0.0000	  1.0000
 0.9000	  0.0000	  1.0000
 0.9250	  0.0010	  1.0000
 0.9500	  0.0010	  1.0000
 0.9750	  0.0020	  1.0000
 1.0000	  0.0020	  1.0000
 1.0250	  0.0030	  1.0000
 1.0500	  0.0040	  1.0000
 1.0750	  0.0050	  1.0000
 1.1000	  0.0050	  1.0000
 1.1250	  0.0060	  1.0000
 1.1500	  0.0070	  1.0000
 1.1750	  0.0070	  1.0000
 1.2000	  0.0080	  1.0000
 1.2250	  0.0080	  1.0000
 1.2500	  0.0070	  1.0000
 1.2750	  0.0070	  1.0000
 1.3000	  0.0050	  1.0000
 1.3250	  0.0040	  1.0000
 1.3500	  0.0020	  1.0000
 1.3750	  0.0010	  1.0000
 1.4000	 -0.0020	  1.0000
 1.4250	 -0.0040	  1.0000
 1.4500	 -0.0060	  1.0000
 1.4750	 -0.0090	  1.0000
 1.5000	 -0.0110	  1.0000
 1.5250	 -0.0130	  1.0000
 1.5500	 -0.0160	  1.0000
 1.5750	 -0.0170	  1.0000
 1.6000	 -0.0190	  1.0000
 1.6250	 -0.0200	  1.0000
 1.6500	 -0.0200	  1.0000
 1.6750	 -0.0200	  1.0000
 1.7000	 -0.0200	  1.0000
 1.7250	 -0.0180	  1.0000
 1.7500	 -0.0170	  1.0000
 1.7750	 -0.0140	  1.0000
 1.8000	 -0.0120	  1.0000
 1.8250	 -0.0090	  1.0000
 1.8500	 -0.0050	  1.0000
 1.8750	 -0.0010	  1.0000
 1.9000	  0.0030	  1.0000
 1.9250	  0.0070	  1.0000
 1.9500	  0.0110	  1.0000
 1.9750	  0.0140	  1.0000
 2.0000	  0.0180	  1.0000
 2.0250	  0.0200	  1.0000
 2.0500	  0.0230	  1.0000
 2.0750	  0.0250	  1.0000
 2.1000	  0.0260	  1.0000
 2.1250	  0.0260	  1.0000
 2.1500	  0.0260	  1.0000
 2.1750	  0.0250	  1.0000
 2.2000	  0.0240	  1.0000
 2.2250	  0.0220	  1.0000
 2.2500	  0.0190	  1.0000
 2.2750	  0.0160	  1.0000
 2.3000	  0.0130	  1.0000
 2.3250	  0.0090	  1.0000
 2.3500	  0.0050	  1.0000
 2.3750	  0.0010	  1.0000
 2.4000	 -0.0030	  1.0000
 2.4250	 -0.0070	  1.0000
 2.4500	 -0.0110	  1.0000
 2.4750	 -0.0140	  1.0000
 2.5000	 -0.0180	  1.0000
 2.5250	 -0.0200	  1.0000
 2.5500	 -0.0230	  1.0000
 2.5750	 -0.0240	  1.0000
 2.6000	 -0.0260	  1.0000
 2.6250	 -0.0260	  1.0000
 2.6500	 -0.0260	  1.0000
 2.6750	 -0.0250	  1.0000
 2.7000	 -0.0240	  1.0000
 2.7250	 -0.0220	  1.0000
 2.7500	 -0.0190	  1.0000
 2.7750	 -0.0170	  1.0000
 2.8000	 -0.0130	  1.0000
 2.8250	 -0.0090	  1.0000
 2.8500	 -0.0050	  1.0000
 2.8750	 -0.0010	  1.0000
 2.9000	  0.0030	  1.0000
 2.9250	  0.0070	  1.0000
 2.9500	  0.0110	  1.0000
 2.9750	  0.0140	  1.0000
 3.0000	  0.0180	  1.0000
 3.0250	  0.0200	  1.0000
 3.0500	  0.0230	  1.0000
 3.0750	  0.0240	  1.0000
 3.1000	  0.0260	  1.0000
 3.1250	  0.0260	  1.0000
 3.1500	  0.0260	  1.0000
 3.1750	  0.0250	  1.0000
 3.2000	  0.0240	  1.0000
 3.2250	  0.0220	  1.0000
 3.2500	  0.0190	  1.0000
 3.2750	  0.0170	  1.0000
 3.3000	  0.0130	  1.0000
 3.3250	  0.0090	  1.0000
 3.3500	  0.0050	  1.0000
 3.3750	  0.0010	  1.0000
 3.4000	 -0.0030	  1.0000
